part_id,x,y,z
1,0.002967,0.001,0
1,0.032637,0.001,0
1,0.062307,0.001,0
1,0.091977,0.001,0
1,0.121647,0.001,0
1,0.151317,0.001,0
1,0.180987,0.001,0
1,0.210657,0.001,0
1,0.240327,0.001,0
1,0.269997,0.001,0
1,0.299667,0.001,0
1,0.329337,0.001,0
1,0.359007,0.001,0
1,0.388677,0.001,0
1,0.418347,0.001,0
1,0.448017,0.001,0
1,0.477687,0.001,0
1,0.507357,0.001,0
1,0.537027,0.001,0
1,0.566697,0.001,0
1,0.596367,0.001,0
1,0.626037,0.001,0
1,0.655707,0.001,0
1,0.685377,0.001,0
1,0.715047,0.001,0
1,0.744717,0.001,0
1,0.774387,0.001,0
1,0.804057,0.001,0
1,0.833727,0.001,0
1,0.863397,0.001,0
1,0.893067,0.001,0
1,0.922737,0.001,0
1,0.952407,0.001,0
1,0.982077,0.001,0
1,1.01175,0.001,0
1,1.04142,0.001,0
1,1.07109,0.001,0
1,1.10076,0.001,0
1,1.13043,0.001,0
1,1.1601,0.001,0
1,1.18977,0.001,0
1,1.21944,0.001,0
1,1.24911,0.001,0
1,1.27878,0.001,0
1,1.30845,0.001,0
1,1.33812,0.001,0
1,1.36779,0.001,0
1,1.39746,0.001,0
1,1.42713,0.001,0
1,1.4568,0.001,0
1,1.48647,0.001,0
1,1.51614,0.001,0
1,1.54581,0.001,0
1,1.57548,0.001,0
1,1.60515,0.001,0
1,1.63482,0.001,0
1,1.66449,0.001,0
1,1.69416,0.001,0
1,1.72383,0.001,0
1,1.7535,0.001,0
1,1.78317,0.001,0
1,1.81284,0.001,0
1,1.84251,0.001,0
1,1.87218,0.001,0
1,1.90185,0.001,0
1,1.93152,0.001,0
1,1.96119,0.001,0
1,1.99086,0.001,0
1,2.02053,0.001,0
1,2.0502,0.001,0
1,2.07987,0.001,0
1,2.10954,0.001,0
1,2.13921,0.001,0
1,2.16888,0.001,0
1,2.19855,0.001,0
1,2.22822,0.001,0
1,2.25789,0.001,0
1,2.28756,0.001,0
1,2.31723,0.001,0
1,2.3469,0.001,0
1,2.37657,0.001,0
1,2.40624,0.001,0
1,2.43591,0.001,0
1,2.46558,0.001,0
1,2.49525,0.001,0
1,2.52492,0.001,0
1,2.55459,0.001,0
1,2.58426,0.001,0
1,2.61393,0.001,0
1,2.6436,0.001,0
1,2.67327,0.001,0
1,2.70294,0.001,0
1,2.73261,0.001,0
1,2.76228,0.001,0
1,2.79195,0.001,0
1,2.82162,0.001,0
1,2.85129,0.001,0
1,2.88096,0.001,0
1,2.91063,0.001,0
1,2.9403,0.001,0
1,2.96997,0.001,0
1,2.99964,0.001,0
1,3.02931,0.001,0
1,3.05898,0.001,0
1,3.08865,0.001,0
1,3.11832,0.001,0
1,3.14799,0.001,0
1,3.17766,0.001,0
1,3.20733,0.001,0
1,3.237,0.001,0
1,3.26667,0.001,0
1,3.29634,0.001,0
1,3.32601,0.001,0
1,3.35568,0.001,0
1,3.38535,0.001,0
1,3.41502,0.001,0
1,3.44469,0.001,0
1,3.47436,0.001,0
1,3.50403,0.001,0
1,3.5337,0.001,0
1,3.56337,0.001,0
1,3.59304,0.001,0
1,3.62271,0.001,0
1,3.65238,0.001,0
1,3.68205,0.001,0
1,3.71172,0.001,0
1,3.74139,0.001,0
1,3.77106,0.001,0
1,3.80073,0.001,0
1,3.8304,0.001,0
1,3.86007,0.001,0
1,3.88974,0.001,0
1,3.91941,0.001,0
1,3.94908,0.001,0
1,3.97875,0.001,0
1,4.00842,0.001,0
1,4.03809,0.001,0
1,4.06776,0.001,0
1,4.09743,0.001,0
1,4.1271,0.001,0
1,4.15677,0.001,0
1,4.18644,0.001,0
1,4.21611,0.001,0
1,4.24578,0.001,0
1,4.27545,0.001,0
1,4.30512,0.001,0
1,4.33479,0.001,0
1,4.36446,0.001,0
1,4.39413,0.001,0
1,4.4238,0.001,0
1,4.45347,0.001,0
1,4.48314,0.001,0
1,4.51281,0.001,0
1,4.54248,0.001,0
1,4.57215,0.001,0
1,4.60182,0.001,0
1,4.63149,0.001,0
1,4.66116,0.001,0
1,4.69083,0.001,0
1,4.7205,0.001,0
1,4.75017,0.001,0
1,4.77984,0.001,0
1,4.80951,0.001,0
1,4.83918,0.001,0
1,4.86885,0.001,0
1,4.89852,0.001,0
1,4.92819,0.001,0
1,4.95786,0.001,0
1,4.98753,0.001,0
